"ML Catalog #",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)",Comments,"Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL"
138804881,Photo,"Columba livia (Feral Pigeon)","Rock Pigeon (Feral Pigeon)",,"Richard Littauer",2/3/2019,2019,2,3,920,"United States",Vermont,Windsor,"18 Sykes Mountain Ave, White River Junction US-VT (43.6469,-72.3344)",43.6469,-72.3344,,Unknown,,"Not Used",,,,,,,S52327098,,,,,"Eight on a line, and then five flew in.",,,,"Columba livia",rocpig1,Domestic,1799.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/138804881","https://ebird.org/view/checklist/S52327098","https://ebird.org/species/rocpig"
138784761,Photo,"Strix varia","Barred Owl",,"Richard Littauer",2/3/2019,2019,2,3,1253,"United States",Vermont,Washington,"900 Sibley Road",44.3122,-72.5051,,Adult,,"Not Used",,,,,,,S52347829,,,,,"On branch, near road. Photo taken from car.",,,,"Strix varia",brdowl,Species,8630.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/138784761","https://ebird.org/view/checklist/S52347829","https://ebird.org/species/brdowl"
138784751,Photo,"Strix varia","Barred Owl",,"Richard Littauer",2/3/2019,2019,2,3,1253,"United States",Vermont,Washington,"900 Sibley Road",44.3122,-72.5051,,Adult,,"Not Used",,,,,,,S52347829,,,,,"On branch, near road. Photo taken from car.",,,,"Strix varia",brdowl,Species,8630.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/138784751","https://ebird.org/view/checklist/S52347829","https://ebird.org/species/brdowl"
138784631,Photo,"Meleagris gallopavo","Wild Turkey",,"Richard Littauer",2/3/2019,2019,2,3,1253,"United States",Vermont,Washington,"900 Sibley Road",44.3122,-72.5051,,Unknown,,"Not Used",,,,,,,S52347829,,,,,"Bizarrely in tree above feeder.",,,,"Meleagris gallopavo",wiltur,Species,1692.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/138784631","https://ebird.org/view/checklist/S52347829","https://ebird.org/species/wiltur"
138784621,Photo,"Meleagris gallopavo","Wild Turkey",,"Richard Littauer",2/3/2019,2019,2,3,1253,"United States",Vermont,Washington,"900 Sibley Road",44.3122,-72.5051,,Unknown,,"Not Used",,,,,,,S52347829,,,,,"Bizarrely in tree above feeder.",,,,"Meleagris gallopavo",wiltur,Species,1692.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/138784621","https://ebird.org/view/checklist/S52347829","https://ebird.org/species/wiltur"
138679741,Photo,"Buteo jamaicensis","Red-tailed Hawk",,"Richard Littauer",2/3/2019,2019,2,3,821,"United States","New Hampshire",Merrimack,"I-89 N, Bow US-NH (43.1684,-71.5354)",43.1684,-71.5354,,Unknown,,"Not Used",,,,,,,S52325475,,,,"Exceedingly poor quality.","Top of tree.",,,,"Buteo jamaicensis",rethaw,Species,7953.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",1004,972,"https://macaulaylibrary.org/asset/138679741","https://ebird.org/view/checklist/S52325475","https://ebird.org/species/rethaw"
138664981,Photo,"Buteo jamaicensis","Red-tailed Hawk",,"Richard Littauer",2/3/2019,2019,2,3,800,"United States","New Hampshire",Hillsborough,"119 Canal St, Manchester US-NH (42.9872,-71.4658)",42.9872,-71.4658,,Unknown,,"Not Used",,,,,,,S52325007,,,,,"On top of chimney. Alighted soon after.",,,,"Buteo jamaicensis",rethaw,Species,7953.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",1676,2235,"https://macaulaylibrary.org/asset/138664981","https://ebird.org/view/checklist/S52325007","https://ebird.org/species/rethaw"
138565961,Photo,"Bubo virginianus","Great Horned Owl",,"Richard Littauer",2/2/2019,2019,2,2,1552,"United States",Massachusetts,Middlesex,"Fresh Pond",42.383,-71.15,,Unknown,,"Not Used",,,,,,,S52309650,,,,,,,,,"Bubo virginianus",grhowl,Species,8337.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/138565961","https://ebird.org/view/checklist/S52309650","https://ebird.org/species/grhowl"
138565951,Photo,"Bubo virginianus","Great Horned Owl",,"Richard Littauer",2/2/2019,2019,2,2,1552,"United States",Massachusetts,Middlesex,"Fresh Pond",42.383,-71.15,,Unknown,,"Not Used",,,,,,,S52309650,,,,,,,,,"Bubo virginianus",grhowl,Species,8337.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/138565951","https://ebird.org/view/checklist/S52309650","https://ebird.org/species/grhowl"
138565931,Photo,"Bubo virginianus","Great Horned Owl",,"Richard Littauer",2/2/2019,2019,2,2,1552,"United States",Massachusetts,Middlesex,"Fresh Pond",42.383,-71.15,,Unknown,,"Not Used",,,,,,,S52309650,,,,,,,,,"Bubo virginianus",grhowl,Species,8337.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/138565931","https://ebird.org/view/checklist/S52309650","https://ebird.org/species/grhowl"
138565861,Photo,"Sturnus vulgaris","European Starling",,"Richard Littauer",2/2/2019,2019,2,2,1552,"United States",Massachusetts,Middlesex,"Fresh Pond",42.383,-71.15,,Unknown,,"Not Used",,,,,,,S52309650,,,,,,,,,"Sturnus vulgaris",eursta,Species,28432.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/138565861","https://ebird.org/view/checklist/S52309650","https://ebird.org/species/eursta"
138565841,Photo,"Sturnus vulgaris","European Starling",,"Richard Littauer",2/2/2019,2019,2,2,1552,"United States",Massachusetts,Middlesex,"Fresh Pond",42.383,-71.15,,Unknown,,"Not Used",,,,,,,S52309650,,,,,,,,,"Sturnus vulgaris",eursta,Species,28432.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/138565841","https://ebird.org/view/checklist/S52309650","https://ebird.org/species/eursta"
138565811,Photo,"Turdus migratorius","American Robin",,"Richard Littauer",2/2/2019,2019,2,2,1552,"United States",Massachusetts,Middlesex,"Fresh Pond",42.383,-71.15,,Unknown,,"Not Used",,,,,,,S52309650,,,,,,,,,"Turdus migratorius",amerob,Species,27999.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/138565811","https://ebird.org/view/checklist/S52309650","https://ebird.org/species/amerob"
138565711,Photo,"Dryobates pubescens","Downy Woodpecker",,"Richard Littauer",2/2/2019,2019,2,2,1552,"United States",Massachusetts,Middlesex,"Fresh Pond",42.383,-71.15,,Unknown,,"Not Used",,,,,,,S52309650,,,,,,,,,"Dryobates pubescens",dowwoo,Species,10740.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/138565711","https://ebird.org/view/checklist/S52309650","https://ebird.org/species/dowwoo"
138565701,Photo,"Dryobates pubescens","Downy Woodpecker",,"Richard Littauer",2/2/2019,2019,2,2,1552,"United States",Massachusetts,Middlesex,"Fresh Pond",42.383,-71.15,,Unknown,,"Not Used",,,,,,,S52309650,,,,,,,,,"Dryobates pubescens",dowwoo,Species,10740.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/138565701","https://ebird.org/view/checklist/S52309650","https://ebird.org/species/dowwoo"
138565631,Photo,"Branta canadensis","Canada Goose",,"Richard Littauer",2/2/2019,2019,2,2,1552,"United States",Massachusetts,Middlesex,"Fresh Pond",42.383,-71.15,,Unknown,,"Not Used",,,,,,,S52309650,,,,,,,,,"Branta canadensis",cangoo,Species,296.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/138565631","https://ebird.org/view/checklist/S52309650","https://ebird.org/species/cangoo"
138565611,Photo,"Mergus merganser","Common Merganser",,"Richard Littauer",2/2/2019,2019,2,2,1552,"United States",Massachusetts,Middlesex,"Fresh Pond",42.383,-71.15,,Unknown,,"Not Used",,,,,,,S52309650,,,,,"With gulls, probably Herring and Ring-billed.",,,,"Mergus merganser",commer,Species,646.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/138565611","https://ebird.org/view/checklist/S52309650","https://ebird.org/species/commer"
138565591,Photo,"Larinae sp.","gull sp.",,"Richard Littauer",2/2/2019,2019,2,2,1552,"United States",Massachusetts,Middlesex,"Fresh Pond",42.383,-71.15,,Unknown,,"Not Used",,,,,,,S52309650,,,,,,,,,"Larinae sp.",larus,Spuh,6300.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/138565591","https://ebird.org/view/checklist/S52309650",
138565581,Photo,"Larinae sp.","gull sp.",,"Richard Littauer",2/2/2019,2019,2,2,1552,"United States",Massachusetts,Middlesex,"Fresh Pond",42.383,-71.15,,Unknown,,"Not Used",,,,,,,S52309650,,,,,,,,,"Larinae sp.",larus,Spuh,6300.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/138565581","https://ebird.org/view/checklist/S52309650",
138565501,Photo,"Poecile atricapillus","Black-capped Chickadee",,"Richard Littauer",2/2/2019,2019,2,2,1552,"United States",Massachusetts,Middlesex,"Fresh Pond",42.383,-71.15,,Unknown,,"Not Used",,,,,,,S52309650,,,,,,,,,"Poecile atricapillus",bkcchi,Species,21806.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/138565501","https://ebird.org/view/checklist/S52309650","https://ebird.org/species/bkcchi"
138562901,Photo,"Passer domesticus","House Sparrow",,"Richard Littauer",2/2/2019,2019,2,2,1418,"United States",Massachusetts,Suffolk,"Boston Logan International Airport, Boston US-MA (42.3694,-71.0202)",42.3694,-71.0202,,Unknown,,"Not Used",,,,,,,S52302528,,,,,,,,,"Passer domesticus",houspa,Species,33452.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/138562901","https://ebird.org/view/checklist/S52302528","https://ebird.org/species/houspa"
138562891,Photo,"Passer domesticus","House Sparrow",,"Richard Littauer",2/2/2019,2019,2,2,1418,"United States",Massachusetts,Suffolk,"Boston Logan International Airport, Boston US-MA (42.3694,-71.0202)",42.3694,-71.0202,,Unknown,,"Not Used",,,,,,,S52302528,,,,,,,,,"Passer domesticus",houspa,Species,33452.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/138562891","https://ebird.org/view/checklist/S52302528","https://ebird.org/species/houspa"
138562881,Photo,"Passer domesticus","House Sparrow",,"Richard Littauer",2/2/2019,2019,2,2,1418,"United States",Massachusetts,Suffolk,"Boston Logan International Airport, Boston US-MA (42.3694,-71.0202)",42.3694,-71.0202,,Unknown,,"Not Used",,,,,,,S52302528,,,,,,,,,"Passer domesticus",houspa,Species,33452.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/138562881","https://ebird.org/view/checklist/S52302528","https://ebird.org/species/houspa"
138331721,Photo,"Corvus monedula","Eurasian Jackdaw",,"Richard Littauer",2/1/2019,2019,2,1,1225,Finland,"Northern Ostrobothnia",,"Kirkkokatu / Brahenkatu",64.6877,24.4781,,Unknown,,"Not Used",,,,,,,S52270433,,,,,,,,,"Corvus monedula",eurjac,Species,20428.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjg0MTUx",3264,4928,"https://macaulaylibrary.org/asset/138331721","https://ebird.org/view/checklist/S52270433","https://ebird.org/species/eurjac"
